title,release_date,developer,publisher,tags,bundle,music
Assault On Proxima,,Delta Video Games,,"Early Access,FPS,Sci-fi,Shooter,Shoot 'Em Up,Arena Shooter,PvE,PvP,3D,Stylized,First-Person,Third Person,Cyberpunk,Action,Team-Based,Cartoony,Colorful,Military,Space,Tactical",,Buy Assault On Proxima
Moon Mystery,"28 Oct, 2024",Cosmoscouts,indie.io,"Adventure,Singleplayer,Sci-fi,FPS,Space,Mystery,Puzzle,Robots,Action,Story Rich,First-Person,Casual,Exploration,Psychological Horror,Narration,Linear,Realistic,Atmospheric,Shooter,Philosophical",,Buy Moon Mystery
Dust Fleet,"23 Aug, 2023",Orbiting Disco,indie.io,"Strategy,Sci-fi,Space,Real Time Tactics,4X,Tactical,Simulation,Real-Time,Space Sim,Indie,3D,Wargame,Third Person,Base Building,Military,RTS,Combat,Singleplayer,PvE,Turn-Based Combat",,Buy Dust Fleet
World Turtles,,Re: cOg Mission,,"City Builder,Colony Sim,Singleplayer,Strategy,Medieval,Immersive Sim,Nature,Hex Grid,3D,Economy,Family Friendly,Hand-drawn,Stylized,Management,God Game,Real Time Tactics,Exploration,Simulation,Sandbox,Building",,Buy World Turtles
Airship: Kingdoms Adrift,"21 Sep, 2023",Revolution Industry,indie.io,"Action,RPG,Adventure,Real Time Tactics,Sandbox,Pirates,Naval,Management,PvP,PvE,4X,Space Sim,Strategy,3D,Steampunk,Lore-Rich,Open World,Story Rich,Simulation,Tactical",,Buy Airship: Kingdoms Adrift
Farm Frenzy Collection,"21 Aug, 2015",Alawar Entertainment,ESDigital Games,"Casual,Strategy,Indie,Simulation,Adventure,Time Management,Female Protagonist,Atmospheric,Farming",,Buy Farm Frenzy Collection
Darkestville Castle,"21 Sep, 2017",Epic Llama Games,ESDigital Games,"Point & Click,Adventure,Hidden Object,Villain Protagonist,Cartoony,Hand-drawn,Funny,2D,Puzzle,Third Person,Story Rich,Conversation,Demons,Comedy,Atmospheric,Singleplayer,Dark Humor,Classic,Great Soundtrack,Indie",,
One More Island,,Berg Games,,"Exploration,City Builder,Colony Sim,Building,Survival,Economy,Management,Trading,Base Building,2D,Top-Down,Simulation,Pixel Graphics,Resource Management,Singleplayer,Strategy,Casual,Anime,Multiplayer,Puzzle",,Buy One More Island
Subterrain: Mines of Titan,"12 Mar, 2024",Pixellore Inc,indie.io,"RPG,Survival,Sci-fi,Exploration,Post-apocalyptic,Turn-Based Combat,Grid-Based Movement,Dark,Futuristic,Atmospheric,Old School,Inventory Management,Time Management,Indie,Action-Adventure,Singleplayer,Top-Down,Pixel Graphics,Violent,Tactical",,Buy Subterrain: Mines of Titan
Farm Frenzy 4,"1 Aug, 2013",Alawar Entertainment,ESDigital Games,"Casual,Farming Sim,Strategy,Adventure,Agriculture,Time Management,Simulation,Farming",,Buy Farm Frenzy 4
Red Comrades 3: Return of Alaska. Reloaded,"7 Nov, 2017",Buka Development,ESDigital Games,"Adventure,Puzzle,Dark Humor,Singleplayer,Hidden Object,Hand-drawn,Comedy,Remake,Funny,Time Travel,Classic,2D,Point & Click,Atmospheric,Cartoony,Story Rich,Great Soundtrack,Cult Classic,Retro,Third Person",,Buy Red Comrades 3: Return of Alaska
Red Comrades 2: For the Great Justice. Reloaded,"14 Oct, 2016",Buka Development,ESDigital Games,"Adventure,Hidden Object,Dark Humor,Time Travel,Atmospheric,Puzzle,Point & Click,Classic,Hand-drawn,Comedy,Funny,2D,1990's,Short,Cartoony,Singleplayer,Casual,Sequel,Politics,Cartoon",,Buy Red Comrades 2: For the Great Justice
Red Comrades Save the Galaxy: Reloaded,"18 Feb, 2016",Buka Development,ESDigital Games,"Adventure,Point & Click,Comedy,Dark Humor,Hidden Object,Atmospheric,Classic,Puzzle,2D,Singleplayer,Time Travel,Third Person,Politics,Dynamic Narration,Surreal,Funny,Cartoony,Unforgiving,Cartoon,Conversation",,Buy Red Comrades Save the Galaxy: Reloaded
Polylithic,,polyperfect,,"Strategy,Colony Sim,Sandbox,Exploration,3D,Colorful,Stylized,Third Person,Survival,Alternate History,Nature,Early Access,Indie,Adventure,Crafting,Combat,Open World,Singleplayer,Automation,Story Rich",,Buy Polylithic
Subterrain,"21 Jan, 2016",Pixellore Inc,Pixellore Inc,"Survival,Top-Down,Crafting,Indie,Sci-fi,Zombies,Open World,Open World Survival Craft,Exploration,Singleplayer,Survival Horror,2D,Dark,Roguelike,Horror,Procedural Generation,Pixel Graphics,Action-Adventure,Perma Death,Replay Value",,Buy Subterrain
FFF,"14 Feb, 2023",polyperfect,polyperfect,"Casual,Design & Illustration,God Game,Space Sim,Clicker,Creature Collector,Idler,2D,Cartoon,Cute,Hand-drawn,Stylized,Cartoony,Psychedelic,Automation,Emotional,Horror,Comedy,Relaxing,Parody",,Buy FFF
Preserve,"8 Aug, 2024",Bitmap Galaxy,Grindstone,"Early Access,Puzzle,City Builder,Turn-Based Strategy,Turn-Based Tactics,Sandbox,Nature,Building,Procedural Generation,Management,Base Building,Relaxing,Board Game,Cute,Strategy,Casual,Simulation,God Game,Stylized,Singleplayer",,Buy Preserve
Terra Nil,,Free Lives,,"Nature,Strategy,Relaxing,Puzzle,City Builder,Procedural Generation,Atmospheric,Casual,Turn-Based Strategy,Isometric,Singleplayer,2.5D,Colorful,Emotional,Resource Management,Cute,Family Friendly,Stylized,Instrumental Music,Post-apocalyptic",,Buy Terra Nil
Townscaper,"26 Aug, 2021",Oskar Stålberg,Raw Fury,"Experimental,Relaxing,Building,Sandbox,Casual,City Builder,Short,Simulation,Singleplayer,Stylized,Indie,Family Friendly,Atmospheric,Cute,Procedural Generation,Colorful,Minimalist,Open World,Controller,Nature",,Buy Townscaper
Tchia,"21 Mar, 2024",Awaceb,Kepler Interactive,"Adventure,Open World,Sandbox,Colorful,Physics,Exploration,3D Platformer,Singleplayer,Character Customization,Third Person,Lore-Rich,3D,Platformer,Precision Platformer,Puzzle Platformer,Cute,Funny,Story Rich,Stealth,Stylized",,Buy Tchia
The Longest Road on Earth,"27 May, 2021",Brainwash Gang,Raw Fury,"Cozy,Casual,Interactive Fiction,Drama,Narrative,Point & Click,Indie,Walking Simulator,Music,Life Sim,Side Scroller,2D,Cute,Noir,Pixel Graphics,Emotional,Historical,Relaxing,Story Rich,Singleplayer",,
Sable,"23 Sep, 2021",Shedworks,Raw Fury,"Atmospheric,Story Rich,Exploration,Choose Your Own Adventure,Adventure,Female Protagonist,Open World,Singleplayer,Multiple Endings,Choices Matter,Puzzle,Stylized,Relaxing,3D Platformer,Platformer,Sci-fi,Puzzle Platformer,RPG,Comic Book,Hand-drawn",,Buy Sable
Snufkin: Melody of Moominvalley,"7 Mar, 2024",Hyper Games,Raw Fury,"Colorful,Puzzle,Funny,RPG,Stylized,2D,Open World,Atmospheric,Cute,Indie,Adventure,Exploration,Wholesome,Singleplayer,Family Friendly,Stealth,Cozy,Mystery,Cartoony,Hidden Object",,Buy Snufkin: Melody of Moominvalley
Gourdlets,"15 Aug, 2024",AuntyGames,Future Friends Games,"Sandbox,City Builder,Relaxing,Simulation,Building,Cute,Colorful,Pixel Graphics,Cozy,Open World,Clicker,Atmospheric,Procedural Generation,Singleplayer,Casual,Isometric,Indie,Family Friendly,Dog,2D",,Buy Gourdlets
Minami Lane,"28 Feb, 2024",Doot,Doot Tiny Games,"Cute,Casual,Life Sim,Relaxing,Colorful,Management,Simulation,Indie,Cozy,Strategy,City Builder,Resource Management,Isometric,Stylized,Hand-drawn,Singleplayer,Cats,Building,2D,Hidden Object",,Buy Minami Lane
NORCO,"24 Mar, 2022",Geography of Robots,Raw Fury,"Point & Click,Mystery,Atmospheric,Story Rich,Pixel Graphics,Dystopian,Noir,Investigation,Dark,Gothic,Colorful,Adventure,Retro,First-Person,Singleplayer,Surreal,Conspiracy,2D,Philosophical,Old School",,
Froggy's Battle,"19 Jul, 2023",Doot,Doot Tiny Games,"Action Roguelike,Roguelite,Skateboarding,Arcade,Indie,2D,Relaxing,Cute,Action,Funny,Controller,Casual,Colorful,Roguelike,Fantasy,Magic,Swordplay,Nature,Combat,Singleplayer",,Buy Froggy's Battle
Rusty's Retirement,"26 Apr, 2024",Mister Morris Games,Mister Morris Games,"Farming Sim,Idler,Automation,Pixel Graphics,Simulation,Management,Relaxing,Farming,Nature,Building,2D,Strategy,Economy,Resource Management,Cute,Post-apocalyptic,Base Building,Capitalism,Casual,Indie",,Buy Rusty's Retirement
Kitty's Last Adventure,"17 Sep, 2024",Woum,Woum,"Action Roguelike,Arena Shooter,Top-Down Shooter,Bullet Hell,Roguelite,2D,Funny,PvE,Arcade,Roguelike,Cute,Controller,Cats,Procedural Generation,Action,Casual,Combat,Shooter,Singleplayer,Early Access",,Buy Kitty's Last Adventure
Gacha Fever,"2 Jul, 2024",Milkshake Games,Milkshake Games,"Arena Shooter,Roguelite,Top-Down Shooter,Cute,Survival,PvE,Bullet Hell,Shooter,Arcade,RPG,2D,Top-Down,Controller,Action Roguelike,Action,Hack and Slash,Casual,Anime,Singleplayer,Roguelike",,Buy Gacha Fever
Noxious Weeds,"9 Jan, 2024",Solar Eclipse Games,Solar Eclipse Games,"Action Roguelike,Bullet Hell,Roguelike,Difficult,Top-Down,Agriculture,Roguelite,Cute,Pixel Graphics,Farming,Action,Shooter,Singleplayer,Controller,RPG,Shoot 'Em Up,Score Attack,Action RPG,Replay Value,Early Access",,
Across the Abyss: Voidborn,"28 Oct, 2024",Pixel Hound Game Studio,Pixel Hound Game Studio,"Hack and Slash,Action RPG,Survival,Difficult,Roguelite,Sci-fi,Action Roguelike,RPG,Action-Adventure,Funny,Twin Stick Shooter,Indie,Singleplayer,Action,Pixel Graphics,2D,Isometric,Space,Aliens,Fantasy",,
Hive Jump 2: Survivors,"10 Sep, 2024",Graphite Lab,Midwest Games,"Action,Singleplayer,RPG,Action Roguelike,Roguelite,Survival,Bullet Hell,Casual,Gun Customization,Sci-fi,Aliens,Top-Down Shooter,Pixel Graphics,Space,Twin Stick Shooter,2D,Controller,Top-Down,Shooter,Combat",,Buy Hive Jump 2: Survivors
Nebula,"25 Jan, 2023",JuTek Pixel,JuTek Pixel,"Action,Bullet Hell,Space,Indie,Shoot 'Em Up,Twin Stick Shooter,Singleplayer,Controller,Arcade,Top-Down Shooter,Roguelite,2D,Action Roguelike,Top-Down,Gun Customization,Casual,Pixel Graphics,Survival,Aliens,Shooter",,
EON Fighter,"13 Aug, 2023",Square Wheel,Square Wheel,"Action Roguelike,Looter Shooter,Twin Stick Shooter,Bullet Hell,Shoot 'Em Up,Top-Down Shooter,Point & Click,Shooter,Arcade,Action-Adventure,Character Customization,2D,Top-Down,Funny,Choices Matter,Controller,Gun Customization,Action,Casual,Cartoony",,
Chonkers,"11 Dec, 2024",Solar Eclipse Games,Solar Eclipse Games,"Cats,Cozy,Idler,Clicker,Creature Collector,Wholesome,Cute,Collectathon,Relaxing,Colorful,Pixel Graphics,Casual,Atmospheric,Life Sim,Economy,Capitalism,2D,Singleplayer,Simulation,Isometric",,
Kitty Survivors: Rogues of Catmere,"20 Dec, 2023",Little Horror Studios,Little Horror Studios,"Action Roguelike,Bullet Hell,Cats,Shoot 'Em Up,Early Access,Top-Down Shooter,Roguelite,Twin Stick Shooter,Action RPG,Crafting,2D,RPG,Cute,Top-Down,Funny,Action,Controller,Gun Customization,Score Attack,Medieval",,Buy Kitty Survivors
Space Horde Attack,"17 May, 2024",GameProdTeam,GameProdTeam,"Action Roguelike,Bullet Hell,Roguelite,Space,Shooter,Roguelike,Shoot 'Em Up,2D,Survival,Combat,Action,Indie,Top-Down,Singleplayer,Simulation,RPG",,
Tilebreaker Next Level,"10 Dec, 2024",Square Wheel,Square Wheel,"Action,Adventure,Casual,Action-Adventure,Point & Click,Arcade,Shooter,Twin Stick Shooter,Time Management,Shoot 'Em Up,Top-Down Shooter,2D,Cute,Cartoony,Colorful,Top-Down,Hand-drawn,Stylized,Sci-fi,Destruction",,
Time Is Honey,"30 Jul, 2024",CakeDev,CakeDev,"Creature Collector,Idler,Management,Collectathon,Simulation,Capitalism,Automation,Building,Farming Sim,Economy,2D,Pixel Graphics,Resource Management,Base Building,Cute,Relaxing,Casual,Nature,Singleplayer,Cozy",,Buy Time Is Honey
Plantera 2: Golden Acorn,"12 Apr, 2023",VaragtP,VaragtP,"Farming Sim,Idler,Automation,Simulation,Management,Pixel Graphics,Relaxing,Farming,Clicker,Building,Cute,Collectathon,Sandbox,Agriculture,Economy,Funny,Resource Management,Nature,2D,Singleplayer",,Buy Plantera 2: Golden Acorn
Elemental Survivors,"25 Aug, 2023",Samobee Games,Samobee Games,"Action Roguelike,Bullet Hell,Action RPG,Retro,Magic,Roguelike,JRPG,Pixel Graphics,Arcade,Shoot 'Em Up,Roguelite,RPG,Arena Shooter,2D,Controller,Action,Casual,Fantasy,Singleplayer,Early Access",,
Crafty Survivors,"15 Mar, 2023",Flannel Bear Games,Flannel Bear Games,"Action RPG,Action Roguelike,Roguelite,Roguelike,Crafting,Pixel Graphics,Controller,Singleplayer,Arcade,Twin Stick Shooter,Shoot 'Em Up,2D,Bullet Hell,Top-Down Shooter,Top-Down,Fantasy,Action,Medieval,Survival,Early Access",,Buy Crafty Survivors
Tilebreaker Next Level Demo,"8 Oct, 2024",Square Wheel,Square Wheel,"Action,Adventure,Casual,Action-Adventure,Point & Click,Arcade,Shooter,Twin Stick Shooter,Time Management,Shoot 'Em Up,Top-Down Shooter,2D,Cute,Cartoony,Colorful,Top-Down,Hand-drawn,Stylized,Sci-fi,Destruction",,
Incremental Town RPG,"15 Sep, 2024",Overaction Game Studio,Overaction Game Studio,"Casual,Indie,Idler,RPG,Simulation,Base Building,Resource Management,Colony Sim,Pixel Graphics,Management,City Builder,Farming Sim,Automation,Mining,Fishing,Clicker,Relaxing,Building,Crafting,Singleplayer",,
Garden Galaxy,"14 Dec, 2022",Anneka Tran,Anneka Tran,"Relaxing,Sandbox,Idler,Casual,Building,Nature,Isometric,Cute,Indie,Stylized,Singleplayer,Family Friendly,Gambling,Cozy",,
Void Scrappers,"21 Oct, 2022",8BitSkull,8BitSkull,"Action Roguelike,Bullet Hell,Shoot 'Em Up,Top-Down Shooter,Action,Roguelite,Roguelike,Loot,Score Attack,Shooter,Space,Sci-fi,Aliens,Pixel Graphics,Controller,Retro,2D,Singleplayer",,Buy Void Scrappers
Swarm Grinder,"22 Apr, 2024",Last Bite Games,Last Bite Games,"Action Roguelike,Bullet Hell,Roguelite,Action RPG,Pixel Graphics,Roguelike,RPG,2D,Mechs,Steampunk,Controller,Procedural Generation,Top-Down,Action,Casual,Sci-fi,Robots,Retro,Singleplayer,Soundtrack",,Buy Swarm Grinder
Sea of Survivors,"18 Oct, 2023",Nah Yeah Games,Nah Yeah Games,"Bullet Hell,Dark Fantasy,Dark,Fantasy,Action RPG,Roguelike,Top-Down,2D Fighter,Action,Score Attack,Lovecraftian,Pixel Graphics,Retro,Pirates,Naval Combat,Action Roguelike,Casual,Roguelite,Economy,Early Access",,Buy Sea of Survivors
Pesticide Not Required,"18 Mar, 2024",Jampacked Games,Jampacked Games,"Action Roguelike,Bullet Hell,Roguelite,Shoot 'Em Up,Action RPG,Top-Down Shooter,Farming Sim,Action,Twin Stick Shooter,Singleplayer,Casual,Top-Down,Arena Shooter,Pixel Graphics,Arcade,RPG,2D,Score Attack,Controller,Roguelike",,Buy Pesticide Not Required
Cozy Island Idle,"25 Feb, 2024",Overaction Game Studio,Overaction Game Studio,"Casual,Idler,Fishing,Underwater,Creature Collector,Cozy,Farming Sim,Cute,Indie,Collectathon,Simulation,RPG,Resource Management,Family Friendly,Economy,Clicker,Relaxing,Singleplayer,3D,Early Access",,
Towerful Defense: A Rogue TD,"29 Jul, 2024",Mini Fun Games,Mini Fun Games,"Action Roguelike,Auto Battler,Tower Defense,Shoot 'Em Up,Roguelite,Bullet Hell,Survival,Strategy,Deckbuilding,Roguelike Deckbuilder,RPG,Arena Shooter,Top-Down Shooter,Casual,Action,Roguelike,2D,Top-Down,Action RPG,Minimalist",,Buy Towerful Defense: A Rogue TD
Cast Out Colony,"8 Apr, 2024",Wooshido,Wooshido,"Early Access,Action Roguelike,Arena Shooter,Shoot 'Em Up,Twin Stick Shooter,Bullet Hell,Roguelite,City Builder,Strategy,RPG,3D,Cute,Top-Down,Base Building,Controller,Action,Casual,Cartoony,Stylized,Building",,Buy Cast Out Colony
Soulstone Survivors,"7 Nov, 2022",Game Smithing Limited,Game Smithing Limited,"Action Roguelike,Bullet Hell,Early Access,Roguelite,Action RPG,Roguelike,Top-Down,Arcade,Action,Procedural Generation,Singleplayer,Score Attack,Colorful,Controller,Dark Fantasy,Twin Stick Shooter,RPG,Crafting,Character Customization,Hack and Slash",,
The Gorcs' Forge,"14 Feb, 2022",Overaction Game Studio,Overaction Game Studio,"Casual,Indie,Clicker,Management,Simulation,Short,Crafting,Collectathon,Point & Click,RPG,Story Rich,Strategy,Building,Relaxing,Colorful,Life Sim,Farming Sim,Farming,Cute,Singleplayer",,Buy The Gorcs' Forge
Fjong,"11 Sep, 2017",VaragtP,VaragtP,"Precision Platformer,2D Platformer,Puzzle Platformer,Puzzle,Difficult,Platformer,Arcade,2D,Cute,Funny,Relaxing,Casual,Cartoony,Colorful,Pixel Graphics,Family Friendly,Physics,Adventure,Singleplayer,Indie",,Buy Fjong
BORE BLASTERS,"8 Mar, 2024",8BitSkull,8BitSkull,"Dwarf,Mining,Exploration,Loot,Action,Procedural Generation,Roguelite,Action Roguelike,Collectathon,Casual,Arcade,Fantasy,Roguelike,Steampunk,Underground,Score Attack,Action-Adventure,Pixel Graphics,2D,Singleplayer",,Buy BORE BLASTERS
Toaster Defense,"23 May, 2022",Wooshido,Wooshido,"Tower Defense,Shoot 'Em Up,Platformer,Arcade,Strategy,Character Customization,Cute,2.5D,Funny,Controller,Action,Casual,Cartoony,Family Friendly,Building,Survival,Robots,Co-op,Local Co-Op,Multiplayer",,Buy Toaster Defense
Cat Swap Tiles,"19 Jan, 2022",Overaction Game Studio,Overaction Game Studio,"Cats,Casual,Puzzle,Tile-Matching,Cozy,Wholesome,Funny,Cute,Relaxing,Short,Clicker,Cartoon,Singleplayer,Indie,Logic,Linear,RPG,2D,Hidden Object,Solitaire",,Buy Cat Swap Tiles
Luffy: Way Back Home,"21 Oct, 2021",Overaction Game Studio,Overaction Game Studio,"Cats,Puzzle,Cartoon,Tile-Matching,Hidden Object,Indie,Clicker,Casual,Point & Click,Relaxing,Cozy,Short,Cute,Solitaire,Wholesome,Minimalist,Linear,Funny,2D,Singleplayer",,Buy Luffy: Way Back Home
Super Mining Mechs,"25 Oct, 2024",Delayed Victory,Delayed Victory,"Online Co-Op,Side Scroller,Collectathon,Sandbox,Character Customization,2D,Mechs,Relaxing,Steampunk,Underground,Open World,Casual,Procedural Generation,Colorful,Pixel Graphics,Mining,Family Friendly,Crafting,Adventure,Co-op",,Buy Super Mining Mechs
Blind Fishes,"10 Jun, 2023",NoiArts,NoiArts,"Casual,Underwater,Tactical,Strategy,Puzzle,Arcade,Point & Click,Nature,Relaxing,Tabletop,Cute,FMV,Minimalist,Family Friendly,Fishing,Cartoon,Clicker,Funny,Singleplayer,Comedy",,Buy Blind Fishes
Doodle Harmony,"30 Oct, 2023",Rebelião Studio,Rebelião Studio,"Point & Click,Creature Collector,Minimalist,Puzzle,Collectathon,Wholesome,Clicker,Cute,Hidden Object,Relaxing,Procedural Generation,Casual,Cozy,Cartoony,Exploration,Colorful,Hand-drawn,Family Friendly,Cats,Singleplayer",,Buy Doodle Harmony
Blockee - Sliding Puzzle,"10 Feb, 2021",White Rose Games,White Rose Games,"Puzzle,Colorful,Minimalist,Difficult,Relaxing,Strategy,Family Friendly,2D,Casual,Clicker,Singleplayer,Tabletop,Board Game,Logic,Touch-Friendly,Indie",,Buy Blockee
Dracula Frames,"6 May, 2021",Caio Flavio,Caio Flavio,"Vampire,Relaxing,Point & Click,Puzzle,Mystery,Solitaire,Exploration,Casual,Board Game,Singleplayer,2D,Indie,Pixel Graphics,Hand-drawn,Retro,Story Rich,Medieval,Dark Fantasy,Romance,Investigation",,Buy Dracula Frames
Acorn Cop,"14 Mar, 2024",Mini Fun Games,Mini Fun Games,"FPS,Collectathon,Shooter,Arcade,2D,Funny,Action,Parody,Casual,Controller,Minimalist,Political,Comedy,Physics,Destruction,Memes,Old School,Satire,Free to Play,Singleplayer",,
Motorbike Video Puzzle,"29 Jul, 2022",NoiArts,NoiArts,"Motorbike,Rock Music,Puzzle,Casual,Arcade,FMV,Bikes,Realistic,Racing,Motocross,Driving,Cycling,Relaxing,Time Attack,Sports,Clicker,Minimalist,Cinematic,Simulation,Retro",,Buy Motorbike Video Puzzle
Doodle Harmony Idle Merge,"14 Oct, 2024",Rebelião Studio,Rebelião Studio,"Idler,Clicker,Point & Click,Creature Collector,Economy,Collectathon,Relaxing,Family Friendly,Resource Management,Wholesome,Casual,Colorful,Cartoony,Puzzle,Hand-drawn,2D,Singleplayer,Indie",,Buy Doodle Harmony Idle Merge
The Traveler's Path,"17 Apr, 2023",White Rose Games,White Rose Games,"Casual,Strategy,Adventure,Puzzle,Board Game,Exploration,3D,Colorful,Cute,Top-Down,Fantasy,Medieval,Controller,Singleplayer",,Buy The Traveler's Path
Chess Brain: Dark Troops,"4 Feb, 2021",Caio Flavio,Caio Flavio,"Chess,Puzzle,Strategy,Board Game,Minimalist,Sokoban,Logic,Programming,Grid-Based Movement,Relaxing,Tabletop,Point & Click,Turn-Based Strategy,Turn-Based Tactics,Singleplayer,Casual,Indie,3D,Family Friendly",,Buy Chess Brain: Dark Troops
Frisbee For Fun,"21 Nov, 2020",Caio Flavio,Caio Flavio,"Cats,Surreal,Minimalist,Puzzle,Platformer,3D,Top-Down Shooter,Cute,Colorful,3D Platformer,Casual,Puzzle Platformer,Physics,Exploration,Action,Adventure,Archery,Singleplayer,Arena Shooter,Sports",,Buy Frisbee For Fun
Lost Kittens: Maze Garden,"2 Sep, 2021",Garibaldi Games,Garibaldi Games,"Adventure,Action,Puzzle,Cats,Cute,Nature,Action-Adventure,Casual,Pixel Graphics,Exploration,Relaxing,Difficult,Top-Down,Puzzle Platformer,Retro,2D,Singleplayer,Indie,Multiplayer",,Buy Lost Kittens: Maze Garden
A Cat in Dungeons,"24 Mar, 2021",Day Art's Games,Day Art's Games,"Casual,Strategy,Cats,Logic,Puzzle,Mystery Dungeon,Board Game,3D,Cute,Minimalist,Atmospheric,Relaxing,Singleplayer",,Buy A Cat in Dungeons
Midnight is Lost,"17 Mar, 2021",Robotizar Games,Robotizar Games,"Sokoban,Puzzle,Difficult,Logic,Strategy,Cute,Relaxing,Cats,Isometric,Colorful,Stylized,Casual,Grid-Based Movement,Voxel,Solitaire,Family Friendly,Minigames,Singleplayer,Tactical,Soundtrack",,Buy Midnight is Lost
Teodoro,"7 Mar, 2021",CosMonkeys,CosMonkeys,"Puzzle,Casual,Hand-drawn,Cats,Short,Relaxing,Sokoban,Cute,Nature,Logic,Indie,Stylized,Grid-Based Movement,Family Friendly,2D,Singleplayer",,Buy Teodoro
BasCatball Jupiter: Basketball & Cat,"15 Jan, 2021",Opala Project,Opala Project,"Puzzle,Casual,Cats,Space,Aliens,Basketball,Mars,Sports,Hex Grid,Logic,Replay Value,Relaxing,Atmospheric,Cute,2D,Singleplayer,Turn-Based,Strategy,Board Game,Turn-Based Tactics",,Buy BasCatball Jupiter
Endurance Labyrinth,"23 Mar, 2021",Ma Ma Software,Ma Ma Software,"Casual,Relaxing,Cute,Female Protagonist,Time Management,2D,Linear,Colorful,Pixel Graphics,Cats,Cartoon,Family Friendly,Top-Down,Grid-Based Movement,Score Attack,Puzzle,Perma Death,Horses,Mystery Dungeon,Retro",,Buy Endurance Labyrinth
Another Cat in Dungeons,"12 Aug, 2021",Day Art's Games,Day Art's Games,"Casual,Strategy,Cats,Logic,Puzzle,Mystery Dungeon,Board Game,Cute,3D,Minimalist,Indie,Atmospheric,Relaxing,Singleplayer",,Buy Another Cat in Dungeons
Helper Cat,"17 Sep, 2021",Giant Head,Giant Head,"Casual,Strategy,Puzzle,Sokoban,2D,Pixel Graphics,Science,Sci-fi,Cats,Logic,Relaxing,Grid-Based Movement,Singleplayer,Colorful,Indie,Cute,Minimalist,Hentai,Sexual Content",,Buy helper cat
Slikoban,"5 Jun, 2021",Heimo Game Studio,Heimo Game Studio,"Sokoban,Grid-Based Movement,Logic,Isometric,3D Vision,Abstract,Minimalist,Puzzle,Linear,Top-Down,Point & Click,Cute,3D,Relaxing,Colorful,Singleplayer,Casual",,Buy SlikoBan
Unlock the Block,"3 May, 2021",Hilarious Games,Hilarious Games,"Casual,Puzzle,Logic,Strategy,Minimalist,Indie,Relaxing,Abstract,Grid-Based Movement,Sokoban,Difficult,Linear,Top-Down,Colorful,2D,Singleplayer",,Buy Unlock the Block
Fatec's Out: School Rage,"12 May, 2020",Opala Project,Opala Project,"Sci-fi,Beat 'em up,Funny,Action,Conspiracy,2D Fighter,Indie,Arcade,Fighting,Casual,Retro,Game Development,Stylized,Adventure,Colorful,Hand-drawn,2D,Programming,Singleplayer,Soundtrack",,Buy Fatec's out
The Devil's Chosen,"16 Jun, 2022",Opala Project,Opala Project,"Early Access,Card Game,Dark,Board Game,Card Battler,Exploration,Psychological Horror,Combat,Gore,Stealth,Demons,Crafting,Inventory Management,Horror,Singleplayer,RPG,Logic,Roguelike,Puzzle,Story Rich",,Buy The Devil's Chosen
Thats Life of Ralph,"13 Sep, 2021",Opala Project,Opala Project,"Cats,Dog,Puzzle,Tabletop,Emotional,Relaxing,Solitaire,Visual Novel,Board Game,Cute,Casual,Romance,Colorful,Hand-drawn,Stylized,Minimalist,Family Friendly,Atmospheric,Cartoon,Singleplayer",,Buy Thats Life of Ralph
Board,"17 Jun, 2022",Ma Ma Software,Ma Ma Software,"Clicker,Board Game,Abstract,Atmospheric,Casual,Psychedelic,Family Friendly,Tabletop,Relaxing,Minimalist,Puzzle,Sokoban,Strategy,Logic,2D,Solitaire,Singleplayer",,Buy Board
Slime Escape,"17 Nov, 2021",Afil Games,AFIL Games,"Side Scroller,Bullet Hell,Mystery Dungeon,Puzzle,Difficult,Strategy,2D,Cute,Surreal,Funny,Linear,Casual,Pixel Graphics,Minimalist,Logic,Programming,Mystery,Atmospheric,Retro,Singleplayer",,Buy Slime Escape
Fluffy Cubed,"18 Jun, 2021",Naoka Games,Naoka Games,"Casual,Strategy,Sandbox,Board Game,Clicker,Sokoban,3D,Colorful,Top-Down,Stylized,Cute,Isometric,Minimalist,Atmospheric,Cats,Management,Logic,Relaxing,Resource Management,Tabletop",,Buy Fluffy Cubed
SokoMatch: Lizard Saga,"17 Jun, 2021",ShortStackStudio,ShortStackStudio,"Sokoban,Match 3,Cute,Short,Nostalgia,Minigames,Stylized,Puzzle,Colorful,Strategy,Education,Top-Down,Family Friendly,Grid-Based Movement,Logic,Relaxing,Casual,Singleplayer,Indie",,Buy SokoMatch: Lizard Saga
Bunny's Ban,"2 Apr, 2021",ShortStackStudio,ShortStackStudio,"Stylized,Sokoban,Minigames,Cute,Logic,Short,Colorful,Top-Down,Relaxing,Puzzle,Family Friendly,Cartoony,Atmospheric,Grid-Based Movement,Education,Collectathon,Casual,Hidden Object,Singleplayer,Minimalist",,Buy Bunny's Ban
Dice Assassin,"25 Apr, 2024",Afil Games,Afil Games,"Roguelike,Card Battler,Auto Battler,Strategy,Action Roguelike,Turn-Based Tactics,Turn-Based Strategy,Action-Adventure,Roguelike Deckbuilder,Turn-Based Combat,Chess,Action,Assassin,Combat,Board Game,Casual,Inventory Management,Old School,Roguelite,Tactical",,Buy Dice Assassin
